transaction_id,datetime,date,time,hour,day_of_week,month,customer_id,customer_name,account_number,card_last4,card_type,bank,transaction_type,merchant,amount_naira,balance_before,balance_after,atm_location,home_state,customer_profile,typical_max_amount,daily_limit,daily_total_so_far,transaction_status,risk_score,is_fraud,fraud_type,fraud_reason
TXN0000069,2026-01-01 00:42:00,2026-01-01,00:42:00,0,Thursday,January,CUST00006,Gbenga Eze,6413953767,3340,Mastercard Credit,UBA,ATM Withdrawal,,6323.97,356144.65,349820.68,ATM_PH_001 - GRA Phase 2,Port Harcourt,medium,50000,150000,6323.97,Successful,15,NO,,
TXN0005396,2026-01-01 01:18:00,2026-01-01,01:18:00,1,Thursday,January,CUST00172,Samuel Adeola,9656101438,9499,Visa Credit,Fidelity Bank,ATM Withdrawal,,48244.28,474539.22,426294.94,ATM_MD_001 - Maiduguri Centre,Maiduguri,medium,50000,150000,48244.28,Successful,10,NO,,
TXN0001925,2026-01-01 02:11:00,2026-01-01,02:11:00,2,Thursday,January,CUST00065,Gbenga Okonkwo,2196937923,8555,Visa Credit,UBA,ATM Mini Statement,,44787.07,210485.59,210485.59,ATM_IB_002 - Challenge,Ibadan,medium,50000,150000,0,Successful,28,NO,,
TXN0000979,2026-01-01 02:16:00,2026-01-01,02:16:00,2,Thursday,January,CUST00036,Chisom Usman,6688937346,8956,Visa Credit,Zenith Bank,Online Transfer,,825.39,449693.49,448868.1,ATM_EN_001 - Independence Layout,Enugu,medium,50000,150000,825.39,Declined,72,YES,Card Testing,Micro-transaction ₦825.39 — possible card testing pattern
TXN0006069,2026-01-01 02:43:00,2026-01-01,02:43:00,2,Thursday,January,CUST00194,Amaka Usman,7613791805,6185,Mastercard Credit,Zenith Bank,Mobile Transfer,,72192.48,523555.19,451362.71,ATM_CL_001 - Calabar Centre,Calabar,medium,50000,150000,72192.48,Successful,84,YES,Skimming,High-value transaction at 02:43 — unusual hour window
TXN0005397,2026-01-01 02:49:00,2026-01-01,02:49:00,2,Thursday,January,CUST00172,Samuel Adeola,9656101438,9499,Visa Credit,Fidelity Bank,Online Transfer,,40800.33,629074.91,588274.58,ATM_MD_001 - Maiduguri Centre,Maiduguri,medium,50000,150000,89044.61,Successful,1,NO,,
TXN0000548,2026-01-01 02:55:00,2026-01-01,02:55:00,2,Thursday,January,CUST00023,Efua Obi,0598262045,1653,Visa Debit,Fidelity Bank,ATM Withdrawal,,5714.05,66804.77,61090.72,ATM_JS_001 - Jos Terminus,Jos,low,10000,50000,5714.05,Successful,6,NO,,
TXN0000246,2026-01-01 03:43:00,2026-01-01,03:43:00,3,Thursday,January,CUST00011,Nkechi Usman,2782489638,4295,Visa Credit,Sterling Bank,ATM Mini Statement,,16897.22,515620.03,515620.03,ATM_JS_001 - Jos Terminus,Jos,medium,50000,150000,0,Successful,34,NO,,
TXN0001597,2026-01-01 04:01:00,2026-01-01,04:01:00,4,Thursday,January,CUST00055,Taiwo Lawal,9671756551,3634,Visa Credit,Sterling Bank,ATM Withdrawal,,7985.08,635569.56,627584.48,ATM_MD_001 - Maiduguri Centre,Maiduguri,medium,50000,150000,7985.08,Successful,23,NO,,
TXN0003253,2026-01-01 04:41:00,2026-01-01,04:41:00,4,Thursday,January,CUST00110,Rotimi Ogundipe,2757059640,2229,Mastercard Debit,Access Bank,ATM Withdrawal,,72423.63,1476673.84,1404250.21,ATM_OW_001 - Owerri Centre,Owerri,high,200000,500000,72423.63,Successful,32,NO,,
